Barcode,Product Name,Category,Epos PriceExTax,Epos PriceIncTax,Correct PriceExTax,Correct PriceIncTax,Difference,Issue
180009000338,"POP SHOP COTTON CANDY,GUMS & CHOCOLATES",DRINKS,3.49,3.94,2.22,2.51,1.27,price landed on the wrong product
180009000017,POP SHOP BLACK CHERRY,DRINKS,2.79,3.15,2.22,2.51,0.57,price landed on the wrong product
05934031,PLAYERS SMOOTH 20 KS,TOBACCO,6.00,6.78,18.30,20.68,-12.30,price landed on the wrong product
05935739,PLAYER SMOOTH 25 KS,TOBACCO,1.00,1.13,22.90,25.88,-21.90,price landed on the wrong product
05934934,PLAYER 25 RG,TOBACCO,2.00,2.26,22.90,25.88,-20.90,price landed on the wrong product
055966913109,Plates,GROCERY,5.00,5.65,4.99,5.64,0.01,price landed on the wrong product
067311680284,pine apple burst,DRINKS,18.30,20.68,3.57,4.03,14.73,price landed on the wrong product
24343,PHOTO,GENERAL ITEMS,22.90,25.88,14.99,16.94,7.91,price landed on the wrong product
070235629512,Phillies strawberry 5pk,TOBACCO,22.90,25.88,11.73,13.25,11.17,price landed on the wrong product
070235629482,Phillies Blunt Chocolate 5 Cigar/Pack,TOBACCO,4.99,5.64,11.73,13.25,-6.74,price landed on the wrong product
061900107206,Philip Morris special 20 ks,TOBACCO,3.57,4.03,12.83,14.50,-9.26,price landed on the wrong product
061900107213,Philip Morris original 20 ks,TOBACCO,14.99,16.94,12.83,14.50,2.16,price landed on the wrong product
698614021278,Red Stripe Lager 6*330ml,Beer,5.49,6.20,18.09,20.36,-12.60,price landed on the wrong product
180854000606,RED BULL SUGAR FREE 355 UNI,DRINKS,1.99,2.25,3.75,4.24,-1.76,price landed on the wrong product
180854000309,RED BULL SUGAR FREE 250 UNI,DRINKS,4.99,5.64,3.55,4.01,1.44,price landed on the wrong product
180854000774,RED BULL 473 UNI,DRINKS,5.50,6.22,5.75,6.50,-0.25,price landed on the wrong product
180854000507,RED BULL 355 UNI,DRINKS,18.09,20.44,3.75,4.24,14.34,price landed on the wrong product
180854000101,RED BULL 250 original,DRINKS,3.75,4.24,3.55,4.01,0.20,price landed on the wrong product
8801052043661,Real Kimchi Noodle,SNACK,3.55,4.01,3.99,4.51,-0.44,price landed on the wrong product
060245250035,reactine EXTRA STRENGTH,HEALTH & BEAUTY,5.75,6.50,6.99,7.90,-1.24,price landed on the wrong product
716165179481,RAW TIPS ROLL,TOBACCO,3.75,4.24,1.99,2.25,1.76,price landed on the wrong product
716165177395,RAW TIPS,VAPE & CIGAR,3.55,4.01,1.77,2.00,1.78,price landed on the wrong product
716165177319,RAW ROLLING PAPERS 1.1/4 SIZE,TOBACCO,3.99,4.51,2.21,2.50,1.78,price landed on the wrong product
716165177357,RAW KS,VAPE & CIGAR,6.99,7.90,3.20,3.62,3.79,price landed on the wrong product
716165177111,RAW CLASSIC CONES,HEALTH & BEAUTY,1.99,2.25,3.99,4.51,-2.00,price landed on the wrong product
716165296867,raw classic 3 pack,VAPE & CIGAR,1.77,2.00,3.99,4.51,-2.22,price landed on the wrong product
