Product Name,Product Description,Cost Price,Selling Price,Tax Percentage,Category Name
Canada dry 710,Canada dry 710,0.00,3.38,13.00,DRINKS
CANADA DRY CAN,CANADA DRY CAN,0.00,1.50,13.00,DRINKS
CANADA DRY CLUB SODA  2L,CANADA DRY CLUB SODA  2L,0.00,4.51,13.00,DRINKS
carling ice  473 ml,carling ice  473 ml,0.00,3.48,13.00,DRINKS
Celcius Electric Vibe,Celcius Electric Vibe,0.00,5.64,13.00,DRINKS
CELSIUS PEACH VIBE 330UNI,CELSIUS PEACH VIBE 330UNI,0.00,4.51,13.00,DRINKS
CELSIUS TROPICAL 330UNI,CELSIUS TROPICAL 330UNI,0.00,4.51,13.00,DRINKS
COCA ORIGINAL 355UNI,COCA ORIGINAL 355UNI,0.00,1.50,13.00,DRINKS
Coconut milk beverage,Coconut milk beverage,0.00,4.51,13.00,DRINKS
COKE 2L,COKE 2L,0.00,4.51,13.00,DRINKS
COKE DIET 2L,COKE DIET 2L,0.00,4.51,13.00,DRINKS
